name,year,ASSGRO,LIAGRO,VENDINC,MAIBUSINC,PROGRO,NETINC,RATGRO,TOTEQU,SOCNUM,C_ASSGROL,A_ASSGROL,CA_ASSGRO,C_INTRATESL,ATOL,ASSGRO_C_INTRATESL,A_VENDINCL,A_PROGROL,ROAL,ROE_AL,ROE_BL,DEBTL,EQUITYL,MAIBUSINC_RATIOL,NALR,OPM,ROCA,NOR,PMOTA,TBR,EQUITYL_new,ASSGRO_yoy,LIAGRO_yoy,VENDINC_yoy,MAIBUSINC_yoy,PROGRO_yoy,NETINC_yoy,RATGRO_yoy,TOTEQU_yoy,TBR_new,SOCNUM_yoy
吉林信息安全测评中心,2018
吉林信息安全测评中心,2017
四川省信息安全测评中心,2019
四川省信息安全测评中心,2018
四川省信息安全测评中心,2017
四川精荣数安科技有限公司,2019
四川精荣数安科技有限公司,2018
四川精荣数安科技有限公司,2017
国家保密科学技术研究所,2019
国家保密科学技术研究所,2018
国家保密科学技术研究所,2017
国家信息中心,2019
国家信息中心,2018
国家信息中心,2017
国家新闻出版广电总局广播科学研究院,2019
国家新闻出版广电总局广播科学研究院,2018
国家新闻出版广电总局广播科学研究院,2017
国家计算机网络与信息安全管理中心,2019
国家计算机网络与信息安全管理中心,2018
国家计算机网络与信息安全管理中心,2017
外交部通信总台,2019
外交部通信总台,2018
外交部通信总台,2017
大庆中基石油通信建设有限公司,2019
大庆中基石油通信建设有限公司,2018
大庆中基石油通信建设有限公司,2017
天津思睿软件有限公司,2019
天津思睿软件有限公司,2018
天津思睿软件有限公司,2017
山东贝格通软件科技有公司,2019
山东贝格通软件科技有公司,2018
山东贝格通软件科技有公司,2017
工业和信息化部电信传输研究所,2019
工业和信息化部电信传输研究所,2018
工业和信息化部电信传输研究所,2017
广东南方信息安全研究院,2019
广东南方信息安全研究院,2018
广东南方信息安全研究院,2017
广东省信息安全测评中心,2019
广东省信息安全测评中心,2018
广东省信息安全测评中心,2017
广东诚晟交通科技投资有限公司,2019
广东诚晟交通科技投资有限公司,2018
广东诚晟交通科技投资有限公司,2017
广州安锐信息技术有限公司,2019
广州安锐信息技术有限公司,2018
广州安锐信息技术有限公司,2017
广州市网恒信息技术有限公司,2019
广州市网恒信息技术有限公司,2018
广州市网恒信息技术有限公司,2017
慧盾安全信息技术（苏州）股份有限公司,2019
慧盾安全信息技术（苏州）股份有限公司,2018
慧盾安全信息技术（苏州）股份有限公司,2017
成都曙光光纤网络有限公司,2019
成都曙光光纤网络有限公司,2018
成都曙光光纤网络有限公司,2017
成都石斧世纪软件有限公司,2019
成都石斧世纪软件有限公司,2018
成都石斧世纪软件有限公司,2017
成都锐信安信息安全技术有限公司,2019
成都锐信安信息安全技术有限公司,2018
成都锐信安信息安全技术有限公司,2017
数字广东网络建设有限公司,2019
数字广东网络建设有限公司,2018
数字广东网络建设有限公司,2017
无锡市软件测评中心,2019
无锡市软件测评中心,2018
无锡市软件测评中心,2017
无锡江南信息安全工程技术中心,2019
无锡江南信息安全工程技术中心,2018
无锡江南信息安全工程技术中心,2017
杭州天谷信息技术有限公司,2019
杭州天谷信息技术有限公司,2018
杭州天谷信息技术有限公司,2017
杭州智贝信息科技有公司,2019
杭州智贝信息科技有公司,2018
杭州智贝信息科技有公司,2017
核工业计算机应用研究所,2019
核工业计算机应用研究所,2018
核工业计算机应用研究所,2017
江苏易安联网络技术有限公司,2019
江苏易安联网络技术有限公司,2018
江苏易安联网络技术有限公司,2017
江苏省未来网络创新研究院,2019
江苏省未来网络创新研究院,2018
江苏省未来网络创新研究院,2017
浙江大华技术有限公司,2019
浙江大华技术有限公司,2018
浙江大华技术有限公司,2017
深圳市丰鑫科技有限公司,2019
深圳市丰鑫科技有限公司,2018
深圳市丰鑫科技有限公司,2017
