数据年份,企业名称,营业总收入,资产总额,负债总额,纳税总额,主营业务收入,所有者权益,利润总额,净利润,平均净资产,平均资产总额,社保人数
2018,汕头市华润达塑胶实业有限公司,77300,7600,6900,100,77300,600,38,15,600,4200,9
2017,汕头市华润达塑胶实业有限公司,66300,800,200,100,66300,600,68,50,600,1300,7
2019,兰州银行股份有限公司,761700,33668300,31496400,143100,571900,2171800,168800,149400,2148400,32029200,--
2018,兰州银行股份有限公司,679900,30390200,28265200,149700,651200,2125000,294200,226600,2004100,28736400,4100
2017,兰州银行股份有限公司,657700,27082700,25199400,133000,622100,1883300,316300,237700,1764300,26409500,4000
2019,南洋商业银行（中国）有限公司,263100,14013800,12581500,29100,203000,1432300,85500,80500,1392900,14570900,1500
2018,南洋商业银行（中国）有限公司,320100,15128000,13774500,47700,245700,1353500,132600,112700,1302600,14840900,1500
2017,南洋商业银行（中国）有限公司,244100,14553900,13302200,40900,161500,1251700,64000,53800,1079400,13356700,1500
2019,上海海鸿石油化工有限公司,138800,3600,3600,35,138800,57,14,14,91,4000,--
2018,上海海鸿石油化工有限公司,121100,4400,4300,36,121100,100,-100,-100,100,7400,6
2017,上海海鸿石油化工有限公司,65200,10500,10200,35,65200,200,7,7,200,9600,6
2019,宿迁市宏胜供应链管理有限公司,177000,28300,20300,7300,177000,8000,9100,6800,8000,23100,2
2018,宿迁市宏胜供应链管理有限公司,174200,17800,9800,6000,174200,8000,9100,6800,8000,19600,2
2017,宿迁市宏胜供应链管理有限公司,183000,21400,13300,5400,183000,8100,9200,6900,7100,22900,2
2019,渣打银行（中国）有限公司,691000,23493500,21117300,69100,689700,2376200,170500,139600,759000,13414500,700
2018,渣打银行（中国）有限公司,55100,3335600,4193700,33100,55100,-858000,-54500,-95900,-589500,3352900,700
2017,渣打银行（中国）有限公司,43900,3370100,3691200,27800,43900,-321000,-52100,-82400,-279200,3481700,600
2019,清远正茂燃气有限公司,11400,29400,25400,17,11400,3900,-2400,-2400,5200,27000,--
2018,清远正茂燃气有限公司,--,24600,18200,96,21400,6400,-2800,-2800,3600,12900,47
2017,清远正茂燃气有限公司,300,1200,300,0,--,900,0,0,5400,5600,38
2019,中化石化销售有限公司,3093700,141300,117800,27000,3093700,23500,28800,21500,21400,152000,100
2018,中化石化销售有限公司,3732000,162600,143200,14800,3732000,19300,18300,13700,17500,128700,100
2017,中化石化销售有限公司,655700,94900,79300,5800,655700,15600,19500,14600,--,--,47
2019,中国光大银行股份有限公司,13281200,473343000,434738000,932200,10191800,38605400,4516300,3744100,35426000,454538000,2800
2018,中国光大银行股份有限公司,11024400,435733000,403486000,713100,3689400,32247300,4085200,3372100,31395000,422278500,2500
2017,中国光大银行股份有限公司,9185000,408824000,378281000,903500,6095000,30543600,4064600,3154500,27825000,405414000,2000
2019,中国石油天然气股份有限公司华南化工销售汕头分公司,209800,--,--,200,209800,--,1800,1800,--,--,--
2018,中国石油天然气股份有限公司华南化工销售汕头分公司,198800,--,--,400,198800,--,1500,1500,--,--,0
2017,中国石油天然气股份有限公司华南化工销售汕头分公司,198100,--,--,500,198100,--,2600,2600,--,--,0
2019,液化空气（福州）有限公司,124900,376400,241100,100,124900,135300,-36800,-19800,122400,421300,100
2018,液化空气（福州）有限公司,12800,466100,356600,1600,12800,109500,-8900,-6700,112900,446300,100
2017,液化空气（福州）有限公司,0,426500,310200,1400,0,116200,-3300,-2500,101800,354900,100
2019,浙江方圆聚合纤有限公司,147900,90400,57700,100,146300,32600,43,100,32500,78600,--
2018,浙江方圆聚合纤有限公司,143300,66800,34300,1500,138600,32400,2900,2500,25900,55500,100
2017,浙江方圆聚合纤有限公司,122900,44200,24800,1500,121500,19300,1600,1400,18600,45400,100
2019,厦门永佳和塑胶有限公司,95100,23700,13500,300,95000,10100,100,75,10100,23300,--
2018,厦门永佳和塑胶有限公司,113000,22800,12700,600,113000,10100,100,68,9500,23200,--
2017,厦门永佳和塑胶有限公司,113300,23700,14700,700,113200,8900,600,400,8700,22500,45
2019,大连精英美术电影制片有限责任公司,--,--,--,--,--,--,--,--,--,--,--
2018,大连精英美术电影制片有限责任公司,--,--,--,--,--,--,--,--,--,--,--
2017,大连精英美术电影制片有限责任公司,--,--,--,--,--,--,--,--,--,--,--
2019,府谷县金宏湾矿业有限公司,51,5900,1900,32,51,3900,-700,-700,4300,11300,--
2018,府谷县金宏湾矿业有限公司,10900,16800,12100,500,10900,4700,2100,1600,10300,17800,0
2017,府谷县金宏湾矿业有限公司,9600,18900,3000,600,9600,15900,2200,1500,15500,18300,0
2019,瑞穗银行（中国）有限公司,288300,12781800,11102900,72000,287800,1678800,193000,145200,1605600,12420400,1300
2018,瑞穗银行（中国）有限公司,312500,12059000,10526600,61400,312000,1532400,186400,140700,1457500,11843200,1400
2017,瑞穗银行（中国）有限公司,191700,11627500,10244800,30600,191700,1382600,72300,54900,1356700,11238600,1500
2019,扬州石化有限责任公司,234000,65600,15200,49600,234000,50300,2000,1700,49400,69400,600
2018,扬州石化有限责任公司,223900,73300,24900,38200,223900,48400,4800,4900,49300,70300,600
2017,扬州石化有限责任公司,202700,67400,17100,46200,202500,50200,7000,5100,47700,62600,700
2019,广州彭脉体育策划有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,广州彭脉体育策划有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,广州彭脉体育策划有限公司,100,100,100,0,100,0,0,0,0,100,17
2019,浙江义乌佛兰克针织有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,浙江义乌佛兰克针织有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,浙江义乌佛兰克针织有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,安康正英实业有限公司,0,8200,6600,0,0,1800,0,0,1700,8300,--
2018,安康正英实业有限公司,0,8400,6600,0,0,1800,0,0,1800,8400,--
2017,安康正英实业有限公司,0,8400,6600,0,0,1800,0,0,1800,8400,--
2019,佛山佛塑科技集团股份有限公司,116200,328700,109600,4400,105100,219100,18400,18400,209300,344000,--
2018,佛山佛塑科技集团股份有限公司,--,359200,159600,7600,114100,199600,4000,4000,199000,362100,2200
2017,佛山佛塑科技集团股份有限公司,--,364900,166500,7700,117800,198400,15100,15000,221600,426000,2200
2019,璐彩特国际（中国）化工有限公司,185800,127800,26700,58600,185800,101100,50600,37900,155000,189600,43
2018,璐彩特国际（中国）化工有限公司,248700,251400,42300,57200,248600,209000,105600,79200,182800,232000,44
2017,璐彩特国际（中国）化工有限公司,247100,212700,56000,23100,247100,156700,99800,74900,133300,175400,42
2019,北化凯明化工有限公司,283500,27600,20400,500,283300,7100,100,100,7100,32900,--
2018,北化凯明化工有限公司,289600,38300,31200,1400,285400,7000,100,62,7000,41900,60
2017,北化凯明化工有限公司,365900,45500,38500,100,365800,7000,66,33,7000,37800,56
2019,成都金发科技新材料有限公司,102300,138600,84900,1800,102300,53700,-3500,-3000,49800,138800,300
2018,成都金发科技新材料有限公司,113600,139100,93100,1400,113600,45900,3700,3300,44300,117700,500
2017,成都金发科技新材料有限公司,50900,96300,53700,400,50900,42600,4600,3800,39200,80000,300
2019,武汉奥邦化工有限公司,150500,15000,13900,200,150500,1000,100,100,900,12000,--
2018,武汉奥邦化工有限公司,137400,9100,8100,200,137400,900,100,100,800,7800,32
2017,武汉奥邦化工有限公司,136000,6600,5800,200,136000,800,100,71,700,6500,28
2019,武汉金牛经济发展有限公司,312100,404100,67800,18500,291500,336300,51000,45000,313800,386200,--
2018,武汉金牛经济发展有限公司,317000,368200,76700,16900,290700,291400,44600,39600,271800,351700,1400
2017,武汉金牛经济发展有限公司,294800,335100,83000,16900,268700,252100,36000,31600,231400,318800,1300
2019,广发银行股份有限公司,76312500,2632800000,2423230000,9683500,76078400,209564000,14922900,12580900,112710000,1434442500,2200
2018,广发银行股份有限公司,--,236085000,220235000,794200,5905400,15850200,1194000,1069900,13617500,221688500,1900
2017,广发银行股份有限公司,--,207292000,195907000,966200,5033000,11384600,1150300,1020400,10991000,206025500,1900
2019,广州伯龙计算机科技有限公司,87,100,100,4,87,6,22,22,6,100,0
2018,广州伯龙计算机科技有限公司,100,100,100,5,100,6,0,-1,-4,94,5
2017,广州伯龙计算机科技有限公司,100,76,92,7,100,0,0,-1,21,100,6
2019,唐山东方雨虹防水技术有限责任公司,175200,136100,88400,16000,167400,47700,21400,18300,48500,129500,--
2018,唐山东方雨虹防水技术有限责任公司,166400,122900,73600,3300,166400,49300,22900,19500,44500,102100,200
2017,唐山东方雨虹防水技术有限责任公司,120800,81400,41700,5100,115800,39700,12500,10700,34200,74400,200
2019,温州银行股份有限公司,423000,23047200,21745500,72200,419600,1301600,80100,69200,1337500,22912700,400
2018,温州银行股份有限公司,361700,22778200,21404900,55400,361700,1373300,61200,51000,1342600,22594700,300
2017,温州银行股份有限公司,397000,22411200,21099200,30200,223700,1312000,118200,90200,1214300,21272900,300
2019,贵阳银行股份有限公司,1346700,52794400,48954200,135300,1346700,3840200,567900,543100,3712200,51563500,6100
2018,贵阳银行股份有限公司,1264500,50332600,46748300,11500,1264500,3584300,554500,522800,3073600,48371600,6200
2017,贵阳银行股份有限公司,1247700,46410600,43847600,136600,1247700,2563000,512600,458700,2335500,41226200,4300
2019,中国石油天然气股份有限公司华南化工销售深圳分公司,0,0,0,0,0,0,0,0,0,0,--
2018,中国石油天然气股份有限公司华南化工销售深圳分公司,0,0,0,0,0,0,0,0,0,0,0
2017,中国石油天然气股份有限公司华南化工销售深圳分公司,187100,0,0,400,187100,0,2900,2900,0,0,0
2019,中国石油天然气股份有限公司华南化工销售南宁分公司,136600,--,--,200,136600,--,2500,2500,--,--,0
2018,中国石油天然气股份有限公司华南化工销售南宁分公司,131000,--,--,400,131000,--,2100,2100,--,--,0
2017,中国石油天然气股份有限公司华南化工销售南宁分公司,116900,--,--,200,116900,--,1700,1700,--,--,0
2019,广州微智物联网科技有限公司,0,0,0,0,0,0,0,0,1300,1500,0
2018,广州微智物联网科技有限公司,0,3000,300,1,0,3000,-100,-100,1300,1500,7
2017,广州微智物联网科技有限公司,0,-2,0,0,0,-2,-2,-2,--,--,0
2019,正新橡胶(中国)有限公司,490800,695700,153600,23100,482500,542100,69200,60500,526600,689200,--
2018,正新橡胶(中国)有限公司,527400,682700,171500,54800,518400,511200,63000,55800,508200,696900,3900
2017,正新橡胶(中国)有限公司,508900,711000,205800,28600,501000,505200,67900,61200,518000,715100,4000
2019,宁波利万新材料有限公司,270000,113400,38900,6000,270000,74500,15100,15100,--,--,--
2018,宁波利万新材料有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,宁波利万新材料有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,达州农村商业银行股份有限公司,95000,3714100,3533200,6700,94600,180900,2900,1700,179400,3542800,800
2018,达州农村商业银行股份有限公司,164800,3371400,3193400,9900,163900,177900,3300,1600,174900,3328000,800
2017,达州农村商业银行股份有限公司,160200,3284500,3112600,13000,125100,171900,1400,6500,168400,3173100,800
2019,新疆鼎成投资集团有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,新疆鼎成投资集团有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,新疆鼎成投资集团有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,嘉兴市元昌时装有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,嘉兴市元昌时装有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,嘉兴市元昌时装有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,中国建设银行股份有限公司,70562900,2543630000,2320110000,5737500,64796400,223513000,32659700,26922200,211340000,2432950000,345500
2018,中国建设银行股份有限公司,65889100,2322270000,2123110000,5253400,60931300,199159000,30816000,25562600,189370000,2267355000,342800
2017,中国建设银行股份有限公司,62165900,2212440000,2032860000,5617200,57025400,179583000,29978700,24361500,169270000,2154405000,351600
2019,中海石油宁波大榭石化有限公司,2774800,1585000,685500,173300,2774400,899500,124200,93400,852200,1489100,--
2018,中海石油宁波大榭石化有限公司,2843500,1393200,588300,252400,2843500,804900,250000,181900,714900,1405100,800
2017,中海石油宁波大榭石化有限公司,2658000,1417100,792100,209600,2658000,624900,280100,210200,518700,1359900,900
2019,海峡石化产品交易中心有限公司,812500,248400,192000,800,812000,56400,600,400,49600,149100,44
2018,海峡石化产品交易中心有限公司,614800,49900,6900,500,614600,42900,600,600,23600,28000,38
2017,海峡石化产品交易中心有限公司,276700,6200,1800,0,276600,4300,100,100,4200,6200,37
2019,神木市店塔镇王塔煤矿,0,--,--,0,0,--,--,0,--,--,--
2018,神木市店塔镇王塔煤矿,700,--,--,90,700,--,--,-400,--,--,--
2017,神木市店塔镇王塔煤矿,700,--,--,90,700,--,--,-400,--,--,0
2019,江苏中石油国际事业有限公司,3066200,276300,225000,5600,3066200,51200,18000,13500,47500,306500,--
2018,江苏中石油国际事业有限公司,3128500,336700,292900,9700,3128500,43700,32400,24300,34500,284500,3
2017,江苏中石油国际事业有限公司,1485400,232300,207000,3900,1485400,25200,31300,23500,13500,241700,3
2019,鞍山银行股份有限公司,523700,12270900,11447700,72300,522800,823100,19500,14600,815800,11360400,3000
2018,鞍山银行股份有限公司,231100,10450000,9641500,35200,51800,808500,3400,2100,804000,10364700,3100
2017,鞍山银行股份有限公司,381600,10279400,9479700,37700,300900,799600,48800,36800,776100,10215000,3100
2019,苏州汇德林投资有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,苏州汇德林投资有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,苏州汇德林投资有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,成都宏星信息科技有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,成都宏星信息科技有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,成都宏星信息科技有限公司,0,0,0,0,0,0,0,0,100,100,0
2019,山东东信塑胶有限公司,9800,54900,45200,44,9000,9700,-6700,-6700,13000,53600,--
2018,山东东信塑胶有限公司,19200,52200,35900,1100,17000,16300,-2800,-2800,37700,80400,100
2017,山东东信塑胶有限公司,82600,108500,49400,1400,82600,59100,9500,9400,54400,101800,100
2019,东莞市正腾实业投资有限公司,400,-10100,31800,27,400,-41900,0,0,-41900,-10000,--
2018,东莞市正腾实业投资有限公司,400,-10000,31800,23,400,-41800,41,41,-31100,-900,20
2017,东莞市正腾实业投资有限公司,400,8100,28500,28,400,-20300,-100,-100,-20200,27500,20
2019,长乐力恒锦纶科技有限公司,256600,374200,408600,3000,0,-34300,-16200,-16200,-26200,389800,600
2018,长乐力恒锦纶科技有限公司,306100,405400,423500,4000,305400,-18100,-400,-400,-17900,417900,600
2017,长乐力恒锦纶科技有限公司,243900,430300,448000,3900,243200,-17600,-9600,-9600,-13100,444700,700
2019,北京顺隆易发科技发展有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,北京顺隆易发科技发展有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,北京顺隆易发科技发展有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,盛虹石化集团有限公司,416000,669900,153700,200,416000,516100,-30900,-30900,481600,830500,100
2018,盛虹石化集团有限公司,591700,991200,544000,100,591700,447100,-2800,-2800,448500,910600,90
2017,盛虹石化集团有限公司,346100,830000,380100,300,346000,449900,200,200,527000,748200,5
2019,东莞市鑫源织造有限公司,200,800,700,6,200,51,10,4,50,800,--
2018,东莞市鑫源织造有限公司,300,800,700,10,300,50,17,7,50,800,0
2017,东莞市鑫源织造有限公司,500,800,800,16,500,50,25,9,500,900,0
2019,临沂华嘉汽车销售有限公司,0,800,600,0,0,100,0,0,100,800,--
2018,临沂华嘉汽车销售有限公司,2,800,600,0,2,100,0,0,100,800,0
2017,临沂华嘉汽车销售有限公司,22,800,600,0,22,100,0,0,100,800,0
2019,海南逸盛石化有限公司,1976700,1045100,682800,72200,1970000,362200,69800,54000,349100,1084300,--
2018,海南逸盛石化有限公司,2208500,1123500,787500,39400,2207000,335900,51100,38700,317500,1109400,500
2017,海南逸盛石化有限公司,1616100,1095200,796100,40000,1279500,299100,12300,8800,258400,1061200,500
2019,福建省福化工贸股份有限公司,2160600,238500,160600,7000,2160600,77800,9300,6900,74400,319300,100
2018,福建省福化工贸股份有限公司,2997100,400000,329000,8800,2997100,70900,10700,8000,57000,390800,100
2017,福建省福化工贸股份有限公司,1881100,381700,338500,4200,1880600,43200,6000,4500,40700,316500,100
2019,青岛茗第甲商贸有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,青岛茗第甲商贸有限公司,0,0,0,0,0,0,0,0,0,0,0
2017,青岛茗第甲商贸有限公司,0,0,0,0,0,0,0,0,0,0,0
2019,福建联合石油化工有限公司,5704600,3526400,1984400,1235100,5647200,1541900,79000,59300,1652300,3588100,--
2018,福建联合石油化工有限公司,5246900,3649900,1887200,1450900,5203200,1762700,374600,281100,1742100,3689500,1900
2017,福建联合石油化工有限公司,4890100,3729000,2007400,1458500,4844600,1721600,680200,510300,1591900,3928700,1800
2019,凉山农村商业银行股份有限公司,185500,6796200,6459000,34300,152800,337100,46400,36300,327900,6487100,--
2018,凉山农村商业银行股份有限公司,203500,6178000,5859300,24300,251500,318700,68700,52200,297900,5770400,2200
2017,凉山农村商业银行股份有限公司,162900,5362900,5085800,25000,203300,277100,21000,20900,273600,5077000,2200
2019,浙江万马高分子材料集团有限公司,285600,184400,70600,9300,282300,113800,20300,18800,104400,169600,1100
2018,浙江万马高分子材料集团有限公司,263400,154900,59800,7000,262800,95000,12600,11600,89000,147000,1000
2017,浙江万马高分子材料集团有限公司,197400,139100,56200,4800,196400,82900,5900,5500,80100,127800,1000
2019,苏州银行股份有限公司,1631700,32128300,29405300,136500,1631700,2722900,285600,229300,2519900,30616500,2300
2018,苏州银行股份有限公司,773700,29104700,26787800,394000,659100,2316900,271300,231400,2272400,28758200,2200
2017,苏州银行股份有限公司,689800,28411800,26183800,101800,686000,2227900,271900,215000,2159200,27226800,2200
2019,安庆炼化曙光丁辛醇化工有限公司,129300,70400,27600,300,125100,42700,-7500,-7500,--,--,--
2018,安庆炼化曙光丁辛醇化工有限公司,--,--,--,--,--,--,--,--,--,--,0
2017,安庆炼化曙光丁辛醇化工有限公司,122700,83000,31000,49,122700,51900,-2800,-2800,53200,82300,0
2019,浙江巴陵恒逸己内酰胺有限责任公司,504700,609400,385400,7500,458400,223900,31500,23900,222300,567300,--
2018,浙江巴陵恒逸己内酰胺有限责任公司,517900,525200,304600,16900,460900,220600,44100,33200,204000,483100,800
2017,浙江巴陵恒逸己内酰胺有限责任公司,420400,441000,253600,32900,393500,187300,44600,33500,170500,423100,600
2019,略阳县同达矿业有限公司,0,5000,6200,0,0,-1100,-100,-100,-1100,5000,0
2018,略阳县同达矿业有限公司,0,5000,6200,0,0,-1100,-100,-100,-1100,5000,0
2017,略阳县同达矿业有限公司,0,5000,6200,0,0,-1100,-100,-100,-1100,5000,0
2019,重庆银行股份有限公司,1179100,50123200,46261800,125000,883900,3861300,557200,432100,3573300,46968600,--
2018,重庆银行股份有限公司,1024500,43814100,40528900,199500,1023400,3285100,464700,370200,1804900,24020800,3200
2017,重庆银行股份有限公司,1001400,4227600,3903000,113000,90100,324500,489500,376400,281300,3979300,3200
2019,浙江万马高分子材料有限公司,285600,184400,70600,9300,282300,113800,20300,18800,104400,169600,1100
2018,浙江万马高分子材料有限公司,263400,154900,59800,7000,262800,95000,12600,11600,89000,147000,1000
2017,浙江万马高分子材料有限公司,197400,139100,56200,4800,196400,82900,5900,5500,80100,127800,1000
2019,厦门庆通新材料科技有限公司,152700,5100,3900,200,152700,1200,43,81,1100,4900,16
2018,厦门庆通新材料科技有限公司,141100,4600,3500,300,141100,1100,0,0,1100,4600,--
2017,厦门庆通新材料科技有限公司,127800,4500,3300,300,127800,1100,100,79,1100,4800,14
2019,山东源源矿业有限公司,0,15300,25700,0,0,-10400,-1700,-1700,-9600,15800,--
2018,山东源源矿业有限公司,0,16300,25000,0,0,-8700,-2200,-2200,11400,17300,0
2017,山东源源矿业有限公司,24,18400,-13100,0,24,30500,-3400,0,13200,21400,0
2019,浙江建文企业管理咨询有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,浙江建文企业管理咨询有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,浙江建文企业管理咨询有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,中海油东方石化有限责任公司,941900,497000,370500,159900,941600,126500,-28500,-21900,136700,493600,600
2018,中海油东方石化有限责任公司,988000,490100,343000,147000,987200,147000,100,500,146700,482900,600
2017,中海油东方石化有限责任公司,797100,475700,329300,144300,794900,146300,1000,400,150700,490100,600
2019,广州银行股份有限公司,2801700,56123100,52118800,262500,2467900,4004300,510200,432400,3890200,53742500,--
2018,广州银行股份有限公司,2409600,51362000,47585800,182600,2296400,3776100,439000,376900,3065800,47688600,3800
2017,广州银行股份有限公司,2063200,44015200,41659700,172200,1835400,2355500,385100,322000,2261300,44232900,500
2019,扬子石化-巴斯夫有限责任公司,1958900,1654600,203600,153200,1935900,1450900,231300,173400,1509500,1750400,1900
2018,扬子石化-巴斯夫有限责任公司,2157400,1846300,278200,218000,2135300,1568000,362400,272700,1585000,1883600,1800
2017,扬子石化-巴斯夫有限责任公司,2102000,1921000,318900,261800,2084400,1602000,456500,341400,1570200,1949300,1800
2019,西安长凯研工贸有限公司,200,2200,1500,30,200,600,0,0,600,2200,--
2018,西安长凯研工贸有限公司,200,2200,1500,30,200,600,0,0,400,1900,0
2017,西安长凯研工贸有限公司,700,1700,1500,0,700,200,100,100,200,1700,0
2019,株洲农村商业银行股份有限公司,91900,1790100,1645200,13500,60600,144900,23600,17100,142100,1697100,500
2018,株洲农村商业银行股份有限公司,84500,1604100,1464800,8700,58100,139300,23300,16400,135500,1591600,500
2017,株洲农村商业银行股份有限公司,80100,1579000,1447300,12500,80100,131600,22200,13500,--,--,500
2019,江苏泗阳农村商业银行股份有限公司,111000,2000200,1791000,9400,83100,209100,31100,23300,199700,2011600,--
2018,江苏泗阳农村商业银行股份有限公司,112500,2023000,1832700,11200,81500,190300,30300,22500,181600,1943400,500
2017,江苏泗阳农村商业银行股份有限公司,104400,1863800,1690900,10800,74700,172800,33000,22000,164000,1754000,500
2019,龙江银行股份有限公司,499700,24068100,22298200,91000,376200,1769900,184000,150200,1695800,24274400,--
2018,龙江银行股份有限公司,499200,24480700,22858900,83800,359100,1621800,198000,161700,1550400,24376600,5100
2017,龙江银行股份有限公司,503800,24272500,22793500,82600,432600,1478900,202000,159500,1427200,24098100,5000
2019,兴业银行股份有限公司,16842900,697826000,645580000,2517700,16842900,52245600,6856400,6229900,48601000,676384500,--
2018,兴业银行股份有限公司,14799400,654943000,609987000,2167200,14799400,44956400,6284600,5723100,42653000,640200000,2000
2017,兴业银行股份有限公司,13157700,625457000,585107000,2378200,13157700,40349900,5980100,5400700,37168500,611000000,1900
2019,贵阳农村商业银行股份有限公司,531200,10337700,9888900,35400,529400,448700,33600,31000,426900,9213000,1700
2018,贵阳农村商业银行股份有限公司,437300,8088300,7683200,25700,436100,405100,34900,29600,421500,7631900,1600
2017,贵阳农村商业银行股份有限公司,319200,7175400,6737400,21900,318700,438000,28500,19700,402800,6327700,1600
2019,福建海峡银行股份有限公司,301600,16245400,14924800,20800,251400,1320500,53400,50900,1229100,15776500,--
2018,福建海峡银行股份有限公司,278900,15307700,14170000,24900,720400,1137700,56600,47400,8635400,15732900,1500
2017,福建海峡银行股份有限公司,300700,16158100,24800,21600,745500,16133300,74800,65000,8454200,15809500,1600
2019,广西长高供应链管理有限公司,0,0,0,0,0,0,0,0,--,--,2
2018,广西长高供应链管理有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,广西长高供应链管理有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,大连银行股份有限公司,800000,41312100,38742500,116600,569800,2569500,121100,125000,2614300,41584700,700
2018,大连银行股份有限公司,780300,41857300,39198300,129500,653400,2658900,200800,163100,2546000,40026800,700
2017,大连银行股份有限公司,726900,38196300,35763200,106800,643200,2433000,231200,181500,2367800,34376500,700
2019,湖北银行股份有限公司,800000,26210900,23704500,9500,769400,25063200,230200,195000,2283700,25229400,4200
2018,湖北银行股份有限公司,673800,24247900,22186900,8000,642800,2061000,211000,175100,-7743000,13182200,4300
2017,湖北银行股份有限公司,5100,2116600,19663700,5500,4800,1502300,156900,125400,-8180800,10387500,3900
2019,河南圣广德企业管理咨询有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,河南圣广德企业管理咨询有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,河南圣广德企业管理咨询有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,南京伟睿达金属材料有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,南京伟睿达金属材料有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,南京伟睿达金属材料有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,上海中石化三井化工有限公司,271900,163300,84400,7700,270700,78900,4400,4400,6600,183900,--
2018,上海中石化三井化工有限公司,315500,204500,270000,8300,314200,-65500,12200,12300,-71700,206000,100
2017,上海中石化三井化工有限公司,246000,207500,285300,10500,245400,-77800,-31800,-31900,-61900,220400,100
2019,济宁市兖州区鸿福经贸有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,济宁市兖州区鸿福经贸有限公司,0,0,0,0,0,0,0,0,0,0,0
2017,济宁市兖州区鸿福经贸有限公司,0,0,0,0,0,0,0,0,100,100,0
2019,金发科技股份有限公司,1216000,2066300,1355200,8900,1201600,711000,25900,25500,745700,1857300,2100
2018,金发科技股份有限公司,130000,1648300,867800,54300,130000,780400,54200,54700,770800,1560900,2500
2017,金发科技股份有限公司,1181900,1473500,712200,16200,1177100,761300,23300,23500,763100,1471300,2700
2019,徽商银行股份有限公司,3115900,113172000,104223000,715500,3115900,8949300,1230000,1006100,--,--,--
2018,徽商银行股份有限公司,--,--,--,--,--,--,--,--,--,--,9500
2017,徽商银行股份有限公司,2250800,90810000,84888800,369900,2250800,5921200,961200,781100,5619700,83143700,9500
2019,中国石油天然气股份有限公司华南化工销售分公司,1899800,--,--,10000,1899800,--,7900,7900,--,--,200
2018,中国石油天然气股份有限公司华南化工销售分公司,2018400,--,--,10900,2018400,--,12100,12100,--,--,--
2017,中国石油天然气股份有限公司华南化工销售分公司,1926100,--,--,17700,1926100,--,27700,27700,--,--,200
2019,富滇银行股份有限公司,1081600,26360900,24425800,60100,496100,1935100,43000,38200,1720600,25420600,800
2018,富滇银行股份有限公司,1087800,24480400,22974300,67500,499000,1506100,31700,12100,1485200,24305600,700
2017,富滇银行股份有限公司,456200,24130900,22666500,82200,456200,1464300,133900,112000,1441400,21877200,800
2019,武汉鲁华泓锦新材料有限公司,98700,63500,29200,1400,95400,34300,400,400,34600,65200,200
2018,武汉鲁华泓锦新材料有限公司,100400,66900,31900,1500,97100,34900,-1500,-1500,35900,68500,200
2017,武汉鲁华泓锦新材料有限公司,79000,70100,33200,200,75200,36800,-3100,-3100,28400,73000,200
2019,上海浦东发展银行股份有限公司,18153600,689241000,634900000,3134100,12686800,54341000,6578300,5644500,50377500,653764000,41300
2018,上海浦东发展银行股份有限公司,16386700,618287000,571873000,2836200,11011700,46414400,6145000,5362500,44213000,610895000,39500
2017,上海浦东发展银行股份有限公司,16105800,603503000,561491000,2862900,10500100,42012700,6545800,5173000,39261500,590339000,39600
2019,武汉鲁华粤达化工有限公司,98700,63500,29200,1400,95400,34300,400,400,34600,65200,200
2018,武汉鲁华粤达化工有限公司,100400,66900,31900,1500,97100,34900,-1500,-1500,35900,68500,200
2017,武汉鲁华粤达化工有限公司,79000,70100,33200,200,75200,36800,-3100,-3100,28400,73000,200
2019,中国石油天然气股份有限公司华北化工销售分公司,2484600,--,--,9000,2484600,--,14500,14500,--,--,--
